Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,127464,5360,76218,45886,1527,4.21,59.8,7.03,38928341,3274.0,117158,10306,8.8
Albania,132544,2456,130033,55,7,1.85,98.11,1.89,2877800,46057.0,132514,30,0.02
Algeria,142447,3775,99101,39571,481,2.65,69.57,3.81,43851043,3248.0,139229,3218,2.31
Andorra,13991,127,13752,112,73,0.91,98.29,0.92,77265,181078.0,13900,91,0.65
Angola,39375,920,34019,4436,75,2.34,86.4,2.7,32866268,1198.0,38682,693,1.79
Antigua and Barbuda,1265,42,1222,1,1,3.32,96.6,3.44,97928,12918.0,1263,2,0.16
Argentina,4574340,96983,4192546,284811,21590,2.12,91.65,2.31,45195777,101212.0,4447701,126639,2.85
Armenia,225661,4530,217250,3881,55,2.01,96.27,2.09,2963234,76154.0,224967,694,0.31
Australia,30861,910,23846,6105,30,2.95,77.27,3.82,50919400,606.0,30602,259,0.85
Austria,650901,10718,638456,1727,84,1.65,98.09,1.68,9006400,72271.0,650353,548,0.08
Azerbaijan,336557,4978,330513,1066,78,1.48,98.2,1.51,10139175,33194.0,335961,596,0.18
Bahamas,12889,251,11740,898,81,1.95,91.09,2.14,393248,32776.0,12586,303,2.41
Bahrain,266685,1366,263660,1659,128,0.51,98.87,0.52,1701583,156728.0,265643,1042,0.39
Bangladesh,966406,15392,844515,106499,11525,1.59,87.39,1.82,164689383,5868.0,904436,61970,6.85
Barbados,4096,47,4008,41,10,1.15,97.85,1.17,287371,14253.0,4079,17,0.42
Belarus,422521,3204,415363,3954,557,0.76,98.31,0.77,9449321,44714.0,416275,6246,1.5
Belgium,1089105,25194,0,1063911,742,2.31,0.0,7.978376963350786,23021022,47309.0,1084550,4555,0.42
Belize,13409,330,12763,316,18,2.46,95.18,2.59,397621,33723.0,13227,182,1.38
Benin,8199,104,8000,95,0,1.27,97.57,1.3,12123198,676.0,8199,0,0.0
Bhutan,2210,1,1891,318,41,0.05,85.57,0.05,771612,2864.0,2076,134,6.45
Bolivia,448213,17013,372138,59062,1851,3.8,83.03,4.57,11673029,38397.0,437623,10590,2.42
Bosnia and Herzegovina,205047,9667,183663,11717,0,4.71,89.57,5.26,3280815,62499.0,205004,43,0.02
Botswana,73977,1188,68069,4720,0,1.61,92.01,1.75,2351625,31458.0,69680,4297,6.17
Brazil,18855015,526892,16740136,1587987,62504,2.79,88.78,3.15,422706534,44605.0,18513305,341710,1.85
Brunei,266,3,255,8,4,1.13,95.86,1.18,437483,608.0,259,7,2.7
Bulgaria,422238,18127,395915,8196,87,4.29,93.77,4.58,6948445,60767.0,421751,487,0.12
Burkina Faso,13494,168,13313,13,0,1.24,98.66,1.26,20903278,646.0,13479,15,0.11
Burma,171976,3513,140387,28076,3602,2.04,81.63,2.5,54409800,3161.0,155697,16279,10.46
Burundi,5535,8,773,4754,14,0.14,13.97,1.03,11890781,465.0,5428,107,1.97
Cabo Verde,32788,289,31931,568,43,0.88,97.39,0.91,555988,58972.0,32457,331,1.02
Cambodia,56122,779,48040,7303,935,1.39,85.6,1.62,16718971,3357.0,49255,6867,13.94
Cameroon,80858,1324,35261,44273,0,1.64,43.61,3.75,26545864,3046.0,80858,0,0.0
Canada,1425537,26345,1393753,5439,270,1.85,97.77,1.89,75750184,18819.0,1422226,3311,0.23
Central African Republic,7141,98,6859,184,0,1.37,96.05,1.43,4829764,1479.0,7141,0,0.0
Chad,4952,174,4777,1,0,3.51,96.47,3.64,16425859,301.0,4951,1,0.02
Chile,1574465,33288,1520879,20298,1857,2.11,96.6,2.19,36692988,42909.0,1553774,20691,1.33
China,103948,4848,98549,551,58,4.66,94.81,4.92,2809352660,37.0,103755,193,0.19
Colombia,4402582,110019,4113917,178646,26721,2.5,93.44,2.67,99141018,44407.0,4213074,189508,4.5
Comoros,3958,146,3766,46,0,3.69,95.15,3.88,869595,4552.0,3912,46,1.18
Congo (Brazzaville),12790,167,11759,864,0,1.31,91.94,1.42,89561403,143.0,12596,194,1.54
Congo (Kinshasa),42880,969,28526,13385,263,2.26,66.53,3.4,5518087,7771.0,40836,2044,5.01
Costa Rica,375812,4740,300983,70089,1488,1.26,80.09,1.57,5094114,73774.0,366161,9651,2.64
Cote d'Ivoire,48634,315,47994,325,54,0.65,98.68,0.66,26378274,1844.0,48242,392,0.81
Croatia,360342,8221,351593,528,96,2.28,97.57,2.34,4105268,87776.0,359736,606,0.17
Cuba,210913,1387,189163,20363,3591,0.66,89.69,0.73,11326616,18621.0,188023,22890,12.17
Cyprus,79636,380,39061,40195,827,0.48,49.05,0.97,1207361,65959.0,75431,4205,5.57
Czechia,1668170,30312,1636428,1430,130,1.82,98.1,1.85,10708981,155773.0,1667115,1055,0.06
Denmark,297040,2539,290235,4266,551,0.85,97.71,0.87,5897840,50364.0,294162,2878,0.98
Diamond Princess,712,13,699,0,0,1.83,98.17,1.86,0,33395.302083333336,712,0,0.0
Djibouti,11609,155,11446,8,3,1.34,98.6,1.35,988002,11750.0,11602,7,0.06
Dominica,194,0,191,3,0,0.0,98.45,0.0,71991,2695.0,193,1,0.52
Dominican Republic,330244,3866,270897,55481,713,1.17,82.03,1.43,10847904,30443.0,324364,5880,1.81
Ecuador,463951,21708,431404,10839,1302,4.68,92.98,5.03,17643060,26297.0,457489,6462,1.41
Egypt,282421,16306,215419,50696,164,5.77,76.28,7.57,102334403,2760.0,281031,1390,0.49
El Salvador,80235,2414,73590,4231,0,3.01,91.72,3.28,6486201,12370.0,78766,1469,1.87
Equatorial Guinea,8775,122,8556,97,16,1.39,97.5,1.43,1402985,6255.0,8734,41,0.47
Eritrea,6188,25,5808,355,61,0.4,93.86,0.43,3546427,1745.0,5936,252,4.25
Estonia,131257,1270,127652,2335,50,0.97,97.25,0.99,1326539,98947.0,131028,229,0.17
Eswatini,19410,683,18323,404,326,3.52,94.4,3.73,1160164,16730.0,19084,326,1.71
Ethiopia,276598,4335,261656,10607,95,1.57,94.6,1.66,114963583,2406.0,276037,561,0.2
Fiji,7149,39,1318,5792,636,0.55,18.44,2.96,896444,7975.0,4144,3005,72.51
Finland,96791,973,46000,49818,222,1.01,47.53,2.12,5540718,17469.0,95387,1404,1.47
France,5852599,111420,406539,5334640,3588,1.9,6.95,27.41,68151730,85876.0,5835885,16714,0.29
Gabon,25106,161,24818,127,0,0.64,98.85,0.65,2225728,11280.0,24984,122,0.49
Gambia,6116,182,5867,67,0,2.98,95.93,3.1,2416664,2531.0,6079,37,0.61
Georgia,371293,5383,355718,10192,1407,1.45,95.81,1.51,3989175,93075.0,365068,6225,1.71
Germany,3739575,91118,3628910,19547,713,2.44,97.04,2.51,166803158,22419.0,3735399,4176,0.11
Ghana,96402,796,93987,1619,0,0.83,97.49,0.85,31072945,3102.0,95642,760,0.79
Greece,429144,12730,93764,322650,2181,2.97,21.85,13.58,10423056,41173.0,421829,7315,1.73
Grenada,161,1,160,0,0,0.62,99.38,0.62,112519,1431.0,161,0,0.0
Guatemala,305319,9548,271562,24209,2785,3.13,88.94,3.52,17915567,17042.0,292674,12645,4.32
Guinea,23895,174,23245,476,24,0.73,97.28,0.75,13132792,1819.0,23753,142,0.6
Guinea-Bissau,3901,70,3602,229,20,1.79,92.34,1.94,1967998,1982.0,3853,48,1.25
Guyana,20568,482,18466,1620,179,2.34,89.78,2.61,786559,26149.0,19959,609,3.05
Haiti,19107,462,12915,5730,155,2.42,67.59,3.58,11402533,1676.0,18341,766,4.18
Holy See,27,0,27,0,0,0.0,100.0,0.0,809,33375.0,27,0,0.0
Honduras,270020,7149,93654,169217,1020,2.65,34.68,7.63,9904608,27262.0,262069,7951,3.03
Hungary,808294,29998,740327,37969,32,3.71,91.59,4.05,9660350,83671.0,808076,218,0.03
Iceland,6555,29,6476,50,0,0.44,98.79,0.45,341250,19209.0,6555,0,0.0
India,30663665,404211,29799534,459920,43733,1.32,97.18,1.36,2751341248,11145.0,30362848,300817,0.99
Indonesia,2345018,61868,1958553,324597,31189,2.64,83.52,3.16,273523621,8573.0,2156465,188553,8.74
Iran,3286923,85095,2953586,248242,16080,2.59,89.86,2.88,83992953,39133.0,3192809,94114,2.95
Iraq,1388323,17376,1277242,93705,8818,1.25,92.0,1.36,40222503,34516.0,1338604,49719,3.71
Ireland,275038,5000,23364,246674,397,1.82,8.49,21.4,4937796,55701.0,271931,3107,1.14
Israel,843892,6429,834257,3206,427,0.76,98.86,0.77,8655541,97497.0,841486,2406,0.29
Italy,4264704,127704,4094421,42579,907,2.99,96.01,3.12,120822834,35297.0,4259133,5571,0.13
Jamaica,50404,1096,33699,15609,15,2.17,66.86,3.25,2961161,17022.0,50080,324,0.65
Japan,809909,14834,776490,18585,1689,1.83,95.87,1.91,252643406,3206.0,798485,11424,1.43
Jordan,754281,9795,737709,6777,505,1.3,97.8,1.33,10203140,73926.0,750886,3395,0.45
Kazakhstan,499755,3550,457543,38662,2747,0.71,91.55,0.78,18776707,26616.0,480162,19593,4.08
Kenya,186453,3697,129165,53591,400,1.98,69.27,2.86,53771300,3468.0,183603,2850,1.55
Kiribati,2,0,0,2,0,0.0,0.0,0.0,117606,17.0,2,0,0.0
"Korea, South",162753,2033,151500,9220,1212,1.25,93.09,1.34,51269183,3174.0,156961,5792,3.69
Kosovo,107810,2265,105397,148,10,2.1,97.76,2.15,1793000,60128.0,107335,475,0.44
Kuwait,367642,2049,346993,18600,1993,0.56,94.38,0.59,4270563,86087.0,354851,12791,3.6
Kyrgyzstan,133303,2054,113975,17274,1233,1.54,85.5,1.8,6524191,20432.0,123038,10265,8.34
Laos,2356,3,2104,249,56,0.13,89.3,0.14,7275556,324.0,2110,246,11.66
Latvia,137699,2531,134354,814,46,1.84,97.57,1.88,1886202,73003.0,137329,370,0.27
Lebanon,545965,7865,533692,4408,294,1.44,97.75,1.47,6825442,79990.0,544705,1260,0.23
Lesotho,11634,333,6552,4749,66,2.86,56.32,5.08,2142252,5431.0,11344,290,2.56
Liberia,4918,134,2464,2320,0,2.72,50.1,5.44,5057677,972.0,3900,1018,26.1
Libya,196894,3215,179685,13994,1070,1.63,91.26,1.79,6871287,28655.0,193238,3656,1.89
Liechtenstein,3047,59,2968,20,2,1.94,97.41,1.99,38137,79896.0,3034,13,0.43
Lithuania,278950,4395,268019,6536,44,1.58,96.08,1.64,2722291,102469.0,278726,224,0.08
Luxembourg,71547,818,69785,944,118,1.14,97.54,1.17,625976,114297.0,70695,852,1.21
MS Zaandam,9,2,7,0,0,22.22,77.78,28.57,0,33395.302083333336,9,0,0.0
Madagascar,42337,924,40752,661,8,2.18,96.26,2.27,27691019,1529.0,42207,130,0.31
Malawi,37366,1218,33490,2658,309,3.26,89.63,3.64,19129955,1953.0,35897,1469,4.09
Malaysia,792693,5677,714815,72201,7654,0.72,90.18,0.79,32365998,24492.0,745703,46990,6.3
Maldives,74585,213,71212,3160,105,0.29,95.48,0.3,540542,137982.0,73660,925,1.26
Mali,14454,527,10084,3843,3,3.65,69.77,5.23,20250834,714.0,14422,32,0.22
Malta,30675,420,30165,90,11,1.37,98.34,1.39,441539,69473.0,30618,57,0.19
Marshall Islands,4,0,4,0,0,0.0,100.0,0.0,58413,68.0,4,0,0.0
Mauritania,21236,489,20016,731,102,2.3,94.26,2.44,4649660,4567.0,20747,489,2.36
Mauritius,1858,18,1534,306,0,0.97,82.56,1.17,1271767,1461.0,1833,25,1.36
Mexico,2549862,233958,2023270,292634,7989,9.18,79.35,11.56,255584572,9977.0,2513164,36698,1.46
Micronesia,1,0,1,0,0,0.0,100.0,0.0,113815,9.0,1,0,0.0
Moldova,257105,6200,250042,863,70,2.41,97.25,2.48,4033963,63735.0,256669,436,0.17
Monaco,2595,33,2541,21,6,1.27,97.92,1.3,39244,66125.0,2576,19,0.74
Mongolia,130452,646,89717,40089,3641,0.5,68.77,0.72,3278292,39793.0,113232,17220,15.21
Montenegro,100362,1619,98452,291,24,1.61,98.1,1.64,628062,159796.0,100230,132,0.13
Morocco,535974,9336,520963,5675,1177,1.74,97.2,1.79,36910558,14521.0,530585,5389,1.02
Mozambique,82346,923,72404,9019,1458,1.12,87.93,1.27,31255435,2635.0,75828,6518,8.6
Namibia,98522,1690,71518,25314,1435,1.72,72.59,2.36,2540916,38774.0,86649,11873,13.7
Nepal,648085,9263,612994,25828,1718,1.43,94.59,1.51,29136808,22243.0,636916,11169,1.75
Netherlands,1720610,18041,27408,1675161,2213,1.05,1.59,65.82,34882427,49326.0,1712100,8510,0.5
New Zealand,2764,26,2697,41,5,0.94,97.58,0.96,4839692,571.0,2743,21,0.77
Nicaragua,8461,192,4225,4044,283,2.27,49.93,4.54,6624554,1277.0,8178,283,3.46
Niger,5519,194,5223,102,4,3.52,94.64,3.71,24206636,228.0,5488,31,0.56
Nigeria,168000,2122,164405,1473,91,1.26,97.86,1.29,399640130,420.0,167543,457,0.27
North Macedonia,155732,5486,150104,142,16,3.52,96.39,3.65,2083380,74750.0,155682,50,0.03
Norway,132363,794,17998,113571,227,0.6,13.6,4.41,5421242,24416.0,131037,1326,1.01
Oman,278560,3339,246466,28755,1824,1.2,88.48,1.35,5106622,54549.0,266536,12024,4.51
Pakistan,966007,22469,909525,34013,1517,2.33,94.15,2.47,428724125,2253.0,957371,8636,0.9
Palau,0,0,0,0,0,0.0,0.0,0.0,18008,0.0,0,0,0.0
Panama,410004,6591,389912,13501,1276,1.61,95.1,1.69,4314768,95023.0,402581,7423,1.84
Papua New Guinea,17098,173,16518,407,0,1.01,96.61,1.05,8947027,1911.0,17098,0,0.0
Paraguay,431367,13553,384284,33530,1483,3.14,89.09,3.53,7132530,60479.0,421589,9778,2.32
Peru,2069051,193588,2030251,-154788,2374,9.36,98.12,9.54,65597846,31541.0,2048115,20936,1.02
Philippines,1445832,25296,1370923,49613,4086,1.75,94.82,1.85,109581085,13194.0,1408058,37774,2.68
Poland,2880403,75095,2652265,153043,95,2.61,92.08,2.83,76257753,37772.0,2879811,592,0.02
Portugal,892741,17118,837135,38488,2170,1.92,93.77,2.04,10196707,87552.0,877195,15546,1.77
Qatar,222760,594,220677,1489,93,0.27,99.06,0.27,2881060,77319.0,221953,807,0.36
Romania,1081030,34021,1045351,1658,51,3.15,96.7,3.25,19237682,56193.0,1080740,290,0.03
Russia,5591030,137005,5042516,411509,22926,2.45,90.19,2.72,292579178,19109.0,5428961,162069,2.99
Rwanda,44279,491,28391,15397,883,1.11,64.12,1.73,12952209,3419.0,38198,6081,15.92
Saint Kitts and Nevis,515,3,237,275,23,0.58,46.02,1.27,53109,9697.0,443,72,16.25
Saint Lucia,5352,85,5166,101,26,1.59,96.52,1.65,183629,29146.0,5292,60,1.13
Saint Vincent and the Grenadines,2240,12,2129,99,2,0.54,95.04,0.56,110854,20207.0,2225,15,0.67
Samoa,3,0,3,0,0,0.0,100.0,0.0,196130,15.0,3,0,0.0
San Marino,5092,90,5002,0,0,1.77,98.23,1.8,33938,150038.0,5091,1,0.02
Sao Tome and Principe,2383,37,2324,22,6,1.55,97.52,1.59,219159,10873.0,2366,17,0.72
Saudi Arabia,495309,7907,475448,11954,1277,1.6,95.99,1.66,34813867,14227.0,486106,9203,1.89
Senegal,44080,1178,41833,1069,121,2.67,94.9,2.82,16743930,2633.0,42957,1123,2.61
Serbia,717093,7061,0,710032,110,0.98,0.0,7.978376963350786,8737370,82072.0,716458,635,0.09
Seychelles,16304,71,15300,933,0,0.44,93.84,0.46,98340,165792.0,15579,725,4.65
Sierra Leone,5836,108,3731,1997,25,1.85,63.93,2.89,7976985,732.0,5495,341,6.21
Singapore,62640,36,62313,291,10,0.06,99.48,0.06,5850343,10707.0,62563,77,0.12
Slovakia,391735,12514,255300,123921,15,3.19,65.17,4.9,5459643,71751.0,391609,126,0.03
Slovenia,257477,4421,252649,407,48,1.72,98.12,1.75,2078932,123851.0,257287,190,0.07
Solomon Islands,20,0,20,0,0,0.0,100.0,0.0,652858,31.0,20,0,0.0
Somalia,14995,775,7252,6968,18,5.17,48.36,10.69,15893219,943.0,14933,62,0.42
South Africa,2090909,62628,1845038,183243,15500,3.0,88.24,3.39,59308690,35255.0,1954466,136443,6.98
South Sudan,10879,117,10514,248,0,1.08,96.64,1.11,11193729,972.0,10834,45,0.42
